title,url,status,timing
"Субсидии  авиакомпаниям на компенсацию части затрат, связанных с обслуживанием воздушных судов",https://gisp.gov.ru/nmp/measure/12448138,Активная,
Продвижение товаров российских производителей на телевидении,https://gisp.gov.ru/nmp/measure/12447991,Активная,
Cубсидии из федерального бюджета на создание и обеспечение деятельности отраслевого центра компетенций по информационной безопасности в промышленности,https://gisp.gov.ru/nmp/measure/12448063,Активная,"Бюджет на 2024 г., 270 млн ₽"
Субсидия на компенсацию части стоимости летного часа беспилотных авиационных систем,https://gisp.gov.ru/nmp/measure/12448507,Активная,
Субсидии на компенсацию части затрат производителям колесных транспортных средств (шасси) и прицепов к ним,https://gisp.gov.ru/nmp/measure/6476131,Активная,
"Субсидия на компенсацию части затрат, связанных с выпуском и поддержкой гарантийных обязательств в отношении высокопроизводительной самоходной и прицепной техники",https://gisp.gov.ru/nmp/measure/8870530,Активная,
"Субсидии на финансовое обеспечение части затрат, связанных со строительством крупнотоннажных судов",https://gisp.gov.ru/nmp/measure/12446564,Активная,"Бюджет на 2024 г., 5 941 млн ₽"
Специальный инвестиционный контракт (СПИК 1.0),https://gisp.gov.ru/nmp/measure/6922613,Активная,
"Субсидия для производителей БАС на возмещение недополученных доходов, связанных с предоставлением скидки покупателям",https://gisp.gov.ru/nmp/measure/12448510,Активная,
Стипендии работникам организаций оборонно-промышленного комплекса Российской Федерации,https://gisp.gov.ru/nmp/measure/7859534,Активная,
Промышленная ипотека,https://gisp.gov.ru/nmp/measure/12448038,Активная,"Бюджет на 2024 г., 7 291 млн ₽"
О промышленных кластерах и специализированных организациях промышленных кластеров,https://gisp.gov.ru/nmp/measure/8123904,Активная,
Субсидии субъектам РФ на создание сети научно-производственных центров испытаний и компетенций в области развития технологий беспилотных авиационных систем (БАС),https://gisp.gov.ru/nmp/measure/12448638,Активная,
"Субсидии на возмещение части затрат на приобретение новых буровых установок взамен буровых установок, сданных на утилизацию",https://gisp.gov.ru/nmp/measure/12448102,Активная,
Субсидия на возмещение затрат при реализации инновационных проектов по производству композитов и изделий из них,https://gisp.gov.ru/nmp/measure/6476171,Активная,
Параллельный импорт,https://gisp.gov.ru/nmp/measure/12447930,Активная,
Субсидии на финансовое обеспечение части затрат на разработку конкурентоспособных нишевых аппаратно-программных комплексов для целей искусственного интеллекта,https://gisp.gov.ru/nmp/measure/12447441,Активная,
"Субсидии на финансовое обеспечение части затрат, связанных с внедрением российской продукции радиоэлектронной промышленности",https://gisp.gov.ru/nmp/measure/12447474,Активная,
"Субсидии российским организациям на финансовое обеспечение затрат на выполнение комплексных проектов по разработке, созданию и внедрению в серийное производство судового комплектующего оборудования",https://gisp.gov.ru/nmp/measure/12448107,Активная,
ГЧП в сфере промышленности,https://gisp.gov.ru/nmp/measure/12448617,Активная,
"Субсидии на компенсацию части затрат, связанных с организацией и проведением оценки в форме испытаний высокоавтоматизированных транспортных средств на соответствие обязательным требованиям...",https://gisp.gov.ru/nmp/measure/12446556,Активная,
"Субсидии из федерального бюджета организациям, оказывающим услуги, связанные с железнодорожным подвижным составом, на возмещение части затрат, связанных с приобретением грузового железнодорожного...",https://gisp.gov.ru/nmp/measure/12446557,Активная,
"Субсидии из федерального бюджета производителям техники, использующей природный газ в качестве моторного топлива",https://gisp.gov.ru/nmp/measure/12446558,Активная,
"Субсидии российским финансовым организациям на возмещение недополученных ими доходов по кредитным договорам или договорам факторинга, заключенным в 2020 году для целей исполнения договоров...",https://gisp.gov.ru/nmp/measure/12446973,Активная,
"Субсидии на финансовое обеспечение части затрат на разработку и организацию производства новых видов продукции, а также модернизацию линейки выпускаемой продукции",https://gisp.gov.ru/nmp/measure/12446974,Активная,
Льготные банковские гарантии для системообразующих предприятий фармацевтической и медицинской промышленности,https://gisp.gov.ru/nmp/measure/12446986,Активная,
О минимальной обязательной доле закупок российских товаров и ее достижении заказчиком,https://gisp.gov.ru/nmp/measure/12447061,Активная,
"Об ограничениях допуска отдельных видов промышленных товаров, происходящих из иностранных государств, к государственным и муниципальным закупкам",https://gisp.gov.ru/nmp/measure/12447063,Активная,
